id, gt, coala
28696, add a new <UNK> to an <UNK>, add a item
6643, <UNK> is in the <UNK>, menu
94329, previous month, main menu closed
9630, <UNK> icon, add image
23307, navigate up, ok
16141, more <UNK>, more option
8602, more <UNK>, more option
75051, previous month, navigate up
89513, next month, submit query
30060, previous month, back
31325, next month, submit query
18346, more <UNK>, more option
88880, previous month, navigate up
20073, next month, submit query
51780, navigate up, back
19719, more <UNK>, more option
44969, show information, search
7407, <UNK> background, main menu open
53237, clear query, close
33843, fast forward, fast forward
7107, skip <UNK>, next
17316, img <UNK>, navigate up
36413, icon, <UNK> <UNK>
5906, icon, back
36205, icon, setting
13727, icon, cancel
72078, image, <UNK> <UNK> <UNK> <UNK>
10424, image, <UNK> <UNK> <UNK> 2017
10614, image, <UNK> jug
20184, image, desk
55830, icon, select
87371, home, more option
40845, icon, information
37229, up, back
86013, icon, <UNK> image
50578, icon, close the navigation drawer
25043, picture, open menu
90699, picture, <UNK> of 16 <UNK>
15344, picture, add call
85969, picture, download
3324, picture, history
26944, picture, add
96042, picture, setting
11741, search, search
99187, rewind, move to previous <UNK>
41720, play, video play
17343, picture, <UNK> to <UNK>
81287, download, close
76342, download, main <UNK> button
1312, download, main <UNK> button
10454, picture, <UNK> <UNK>
26693, picture, <UNK> <UNK>
49837, download, download
81363, picture, <UNK> <UNK>
23434, <UNK> <UNK> <UNK> image view, casebook
91848, add <UNK> profile picture, goole <UNK>
17592, navigation drawer opened, menu
7749, open split editor, <UNK> setting
12766, <UNK> create <UNK>, close
26174, img <UNK>, button
28876, more <UNK>, more option
50422, favorite status, <UNK> to delete
23411, <UNK> menu, detail
8339, favorite status, <UNK> le menu
91631, <UNK> icon, add image
4843, app icon, category image
12838, create <UNK>, increase day
18340, change arrow, more information
55928, next month, submit query
27664, more <UNK>, more option
16539, picture, <UNK> <UNK>
2053, audio, flash <UNK>
41833, icon, select all
11017, icon, <UNK> <UNK> info button
49604, icon, remove
90927, plus, main menu closed
17375, icon, select
